순위,제목
1,공조2: 인터내셔날
2,육사오(6/45)
3,헌트
4,비상선언
5,한산: 용의 출현
6,놉
7,탑건: 매버릭
8,블랙폰
9,리미트
10,토르: 러브 앤 썬더
11,늑대사냥
12,비스트
13,외계+인 1부
14,불릿 트레인
15,어웨이크
16,파로호
17,폴: 600미터
18,드래곤볼 슈퍼: 슈퍼 히어로
19,9명의 번역가
20,알라딘
21,"어쩌다 공주, 닭냥이 왕자를 부탁해!"
22,모가디슈
23,인생은 뷰티풀: 비타돌체
24,공조
25,서울대작전
26,극장판 엄마 까투리: 도시로 간 까투리 가족 
27,아바타
28,오! 마이 고스트
29,뜨거운 피
30,특송
31,보이스
32,헤어질 결심
33,미니언즈2
34,발신제한
35,성적표의 김민영
36,노스맨
37,경관의 피
38,범죄도시2
39,유체이탈자
40,인생은 아름다워
41,장르만 로맨스
42,연애 빠진 로맨스
43,킹메이커
44,다 잘된 거야
45,정직한 후보2
46,부적: 남의 운을 빼앗는 자
47,시맨틱 에러: 더 무비
48,신비한 동물들과 덤블도어의 비밀
49,신의 한 수: 귀수편
50,강릉
